Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Sector Name
531409,Alchemist Corporation Ltd,ALCHCORP,ALCHEMIST CORPORATION LTD.,10,Commodity Chemicals,Commodities
531411,Tuni Textile Mills Ltd.,TUNITEX,TUNI TEXTILE MILLS LTD.,1,Other Textile Products,Consumer Discretionary
531412,Radix Industries (India) Limited,RADIXIND,Radix Industries (India) Limited,10,Personal Care,Fast Moving Consumer Goods
531413,Kiran Print-Pack Ltd.,KIRANPR,KIRAN PRINT-PACK LTD.,10,Printing & Publication,Consumer Discretionary
531416,Narendra Properties Ltd.,NARPROP,NARENDRA PROPERTIES LTD.,10,Residential- Commercial Projects,Consumer Discretionary
531417,Mega Corporation Ltd,MEGACOR,MEGA CORPORATION LTD.,1,Non Banking Financial Company (NBFC),Financial Services
531420,BMB Music & Magnetics Ltd.,BMBMUMG,BMB MUSIC & MAGNETICS LTD.,10,Film Production- Distribution & Exhibition,Consumer Discretionary
531426,Tamil Nadu Newsprint And Papers Ltd,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,10,Paper & Paper Products,Commodities
531431,Shakti Pumps (India) Ltd.,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LTD.-$,10,Compressors- Pumps & Diesel Engines,Industrials
531432,Systematix Securities Ltd.,SYTIXSE,SYSTEMATIX SECURITIES LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531433,Sungold Capital Ltd.,SUNGOLD,SUNGOLD CAPITAL LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531436,Saffron Industries Limited,SAFFRON,Saffron Industries Limited,10,Paper & Paper Products,Commodities
531437,Prakash Woollen & Synthetic Mills Ltd ,PWASML,Prakash Woollen & Synthetic Mills Ltd,10,Other Textile Products,Consumer Discretionary
531439,Goldstone Technologies Ltd.,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,10,Computers - Software & Consulting,Information Technology
531444,Vardhman Concrete Limited,VARDHMAN,Vardhman Concrete Limited,10,Cement & Cement Products,Commodities
531449,GRM Overseas Ltd.,GRMOVER,GRM OVERSEAS LTD.,2,Other Agricultural Products,Fast Moving Consumer Goods
531453,Mohit Industries Limited,MOHITIND,MOHIT INDUSTRIES LTD.-$,10,Other Textile Products,Consumer Discretionary
531454,Polylink Polymers (india) Ltd.,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,5,Petrochemicals,Commodities
531456,Minaxi Textiles Ltd.,MINAXI,MINAXI TEXTILES LTD.,1,Other Textile Products,Consumer Discretionary
531460,Continental Controls Ltd.,CONTICON,CONTINENTAL CONTROLS LTD.,10,Other Electrical Equipment,Industrials
531465,Nouveau Global Ventures Limited,NOUVEAU,NOUVEAU GLOBAL VENTURES LTD.,1,Trading & Distributors,Services
531471,Duke Offshore Ltd.,DUKEOFS,DUKE OFFSHORE LTD.,10,Oil Equipment & Services,Energy
531472,Cybele  Industries Limited,CYBELEIND,CYBELE INDUSTRIES LTD.,10,Other Electrical Equipment,Industrials
531489,Cg-Vak Software & Exports Ltd.,CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.,10,Computers - Software & Consulting,Information Technology
531494,NAVKAR URBANSTRUCTURE LIMITED,NAVKAR,Navkar Urbanstructure Ltd,2,Civil Construction,Industrials
531497,Madhucon Projects Ltd.,MADHUCON,MADHUCON PROJECTS LTD.-$,1,Civil Construction,Industrials
531499,Sybly Industries Ltd.,SYBLY,SYBLY INDUSTRIES LTD.-$,10,Other Textile Products,Consumer Discretionary
531500,Rajesh Exports Ltd.,RAJESHEXPO,RAJESH EXPORTS LTD.,1,Gems- Jewellery And Watches,Consumer Discretionary
531502,Esaar (India) Ltd.,ESARIND,ESAAR (INDIA) LTD.,10,Diversified Commercial Services,Services
531503,Maris Spinners Ltd.,MARIS,MARIS SPINNERS LTD.-$,10,Other Textile Products,Consumer Discretionary
531505,Indergiri Finance ltd.,INDERGR,INDERGIRI FINANCE LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531506,Shukra Bullions Limited,SKRABUL,SHUKRA BULLIONS LTD.,10,Diversified Commercial Services,Services
531508,Eveready Industries India Ltd.,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,5,Household Products,Fast Moving Consumer Goods
531509,Step Two Corporation Ltd.,STEP2COR,STEP TWO CORPORATION LTD.,10,Other Financial Services,Financial Services
531512,Orient Tradelink Ltd.,ORIENTTR,ORIENT TRADELINK LTD.,10,Film Production- Distribution & Exhibition,Consumer Discretionary
531518,VIKAS PROPPANT & GRANITE LTD.,VIKASPROP,Vikas Proppant & Granite Ltd,1,Other Agricultural Products,Fast Moving Consumer Goods
531521,Desh Rakshak Aushdhalaya Ltd.,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.,10,Pharmaceuticals,Healthcare
531525,Ace Software Exports ltd.,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,10,Software Products,Information Technology
531529,Softrak Venture Investments Ltd.,SOFTRAKV,SOFTRAK VENTURE INVESTMENT LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531531,Hatsun Agro Products Ltd.,HATSUN,HATSUN AGRO PRODUCT LTD.,1,Dairy Products,Fast Moving Consumer Goods
531533,ACCEDERE LIMITED,ACCEDERE,Accedere Ltd,10,Computers - Software & Consulting,Information Technology
531539,Rishabh Digha Steel And Allied Prod,RISHDIGA,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,10,Iron & Steel Products,Industrials
